BGC,SS_NoSpace,Spp,ESuit,Use,Changes
BWBSdk,BWBSdk/101,Sx,1,C4,
BWBSdk,BWBSdk/102,At,3,B2,
BWBSdk,BWBSdk/102,Bl,3,B2,
BWBSdk,BWBSdk/102,Pl,2,B2,
BWBSdk,BWBSdk/102,Sb,3,B2,
BWBSdk,BWBSdk/102,Sx,3,B2,
BWBSdk,BWBSdk/110,Acb,2,D6,
BWBSdk,BWBSdk/110,At,2,D6,
BWBSdk,BWBSdk/110,Bl,3,D6,
BWBSdk,BWBSdk/110,Ep,3,D6,
BWBSdk,BWBSdk/110,Pl,2,D6,
BWBSdk,BWBSdk/110,Sb,3,D6,
BWBSdk,BWBSdk/110,Sx,1,D6,
BWBSdm,BWBSdm/a,Pj,1,B2,
BWBSdm,BWBSdm/a,Pl,2,B2,1 to 2
BWBSdm,BWBSdm/d,Acb,3,C4,
BWBSdm,BWBSdm/d,At,1,C4,
BWBSdm,BWBSdm/d,Bb,3,C4,
BWBSdm,BWBSdm/d,Ep,3,C4,
BWBSdm,BWBSdm/d,Pl,1,C4,
BWBSdm,BWBSdm/d,Sb,3,C4,
BWBSdm,BWBSdm/d,Sx,1,C4,
BWBSdm,BWBSdm/f,Acb,2,D6,
BWBSdm,BWBSdm/f,At,2,D6,
BWBSdm,BWBSdm/f,Bb,3,D6,
BWBSdm,BWBSdm/f,Ep,2,D6,
BWBSdm,BWBSdm/f,Pl,3,D6,
BWBSdm,BWBSdm/f,Sx,1,D6,
BWBSlb,BWBSlb/a,Pj,1,B2,
BWBSlb,BWBSlb/a,Sb,2,B2,added
BWBSlb,BWBSlb/a,Pl,2,B2,added
BWBSlb,BWBSlb/d,Pl,3,C4,added
BWBSlb,BWBSlb/d,Bb,3,C4,SS change
BWBSlb,BWBSlb/d,Ep,1,C4,3 to 2
BWBSlb,BWBSlb/d,At,2,C4,3 to 2
BWBSlb,BWBSlb/d,Pj,3,C4,SS change
BWBSlb,BWBSlb/d,Sb,2,C4,SS change
BWBSlb,BWBSlb/d,Sx,1,C4,SS change
