BGC,SS_NoSpace,Spp,ESuit,Use,Changes
CRFdh_CA,CRFdh_CA/101,Oc,1,C4,
CRFdh_CA,CRFdh_CA/101,Ol,1,C4,
CRFdh_CA,CRFdh_CA/101,Ot,1,C4,
CRFdh_CA,CRFdh_CA/101,Ra,3,C4,
CRFdh_CA,CRFdh_CA/103,Fd,1,B2,
CRFdh_CA,CRFdh_CA/103,Oc,2,B2,
CRFdh_CA,CRFdh_CA/103,Ot,2,B2,
CRFdh_CA,CRFdh_CA/103,Qb,2,B2,
CRFdh_CA,CRFdh_CA/103,Qc,3,B2,
CRFdh_CA,CRFdh_CA/103,Qg,5,B2,3 to 5
CRFdh_CA,CRFdh_CA/103,Qx,3,B2,
CRFdh_CA,CRFdh_CA/103,Ra,1,B2,
CRFdh_CA,CRFdh_CA/111,Bg,3,D6,
CRFdh_CA,CRFdh_CA/111,Dr,2,D6,
CRFdh_CA,CRFdh_CA/111,Fd,2,D6,
CRFdh_CA,CRFdh_CA/111,Hw,2,D6,
CRFdh_CA,CRFdh_CA/111,Mb,1,D6,
CRFdh_CA,CRFdh_CA/111,Oc,1,D6,
CRFdh_CA,CRFdh_CA/111,Ol,1,D6,
CRFdh_CA,CRFdh_CA/111,Ss,1,D6,
CVGdm_CA,CVGdm_CA/111,X,1,D6,
CVGdm_CA,CVGdm_CA/Gg,X,1,B2,
CVGdm_CA,CVGdm_CA/Gg,X,1,C4,
CWFds_CA,CWFds_CA/101,Bc,1,C4,
CWFds_CA,CWFds_CA/101,Bm,2,C4,
CWFds_CA,CWFds_CA/101,Fd,1,C4,
CWFds_CA,CWFds_CA/101,Oa,1,C4,
CWFds_CA,CWFds_CA/101,Pl,3,C4,
CWFds_CA,CWFds_CA/101,Ps,2,C4,
CWFds_CA,CWFds_CA/101,Py,2,C4,
CWFds_CA,CWFds_CA/101,Pz,2,C4,
CWFds_CA,CWFds_CA/101,Qb,2,C4,
CWFds_CA,CWFds_CA/102,Fd,2,B2,
CWFds_CA,CWFds_CA/102,Bc,2,B2,
CWFds_CA,CWFds_CA/102,Oa,2,B2,
CWFds_CA,CWFds_CA/102,Ps,1,B2,
CWFds_CA,CWFds_CA/102,Py,1,B2,
CWFds_CA,CWFds_CA/102,Pz,1,B2,
CWFds_CA,CWFds_CA/102,Qb,1,B2,
CWFds_CA,CWFds_CA/102,Qc,2,B2,
CWFds_CA,CWFds_CA/110,Bc,1,D6,
CWFds_CA,CWFds_CA/110,Fd,2,D6,
CWFds_CA,CWFds_CA/110,Oz,1,D6,
CWFds_CA,CWFds_CA/110,Pl,3,D6,
CWFds_CA,CWFds_CA/110,Ps,2,D6,
CWFds_CA,CWFds_CA/110,Py,2,D6,
CWFds_CA,CWFds_CA/110,Pz,2,D6,
CWFmm_OR,CWFmm_OR/101,Bc,1,C4,
CWFmm_OR,CWFmm_OR/101,Dr,5,C4,
CWFmm_OR,CWFmm_OR/101,Fd,1,C4,
CWFmm_OR,CWFmm_OR/101,Hw,3,C4,
CWFmm_OR,CWFmm_OR/101,Oa,1,C4,
CWFmm_OR,CWFmm_OR/101,Oy,2,C4,
CWFmm_OR,CWFmm_OR/101,Ps,2,C4,
CWFmm_OR,CWFmm_OR/101,Pw,2,C4,
CWFmm_OR,CWFmm_OR/103,Fd,1,B2,
CWFmm_OR,CWFmm_OR/103,Bc,2,B2,
CWFmm_OR,CWFmm_OR/103,Oa,1,B2,
CWFmm_OR,CWFmm_OR/103,Oy,2,B2,
CWFmm_OR,CWFmm_OR/103,Ps,2,B2,
CWFmm_OR,CWFmm_OR/103,Pw,3,B2,
CWFmm_OR,CWFmm_OR/103,Py,2,B2,
CWFmm_OR,CWFmm_OR/103,Ra,3,B2,
CWFmm_OR,CWFmm_OR/113,Bc,2,D6,
CWFmm_OR,CWFmm_OR/113,Cw,3,D6,
CWFmm_OR,CWFmm_OR/113,Dr,3,D6,
CWFmm_OR,CWFmm_OR/113,Fd,1,D6,
CWFmm_OR,CWFmm_OR/113,Mb,2,D6,
CWFwm_OR,CWFwm_OR/101,Bc,1,C4,
CWFwm_OR,CWFwm_OR/101,Bm,3,C4,
CWFwm_OR,CWFwm_OR/101,Fd,1,C4,
CWFwm_OR,CWFwm_OR/101,Oa,2,C4,
CWFwm_OR,CWFwm_OR/101,Oy,2,C4,
CWFwm_OR,CWFwm_OR/101,Ps,2,C4,
CWFwm_OR,CWFwm_OR/101,Pw,2,C4,
CWFwm_OR,CWFwm_OR/101,Pz,3,C4,
CWFwm_OR,CWFwm_OR/101,Qc,5,C4,
CWFwm_OR,CWFwm_OR/101,Ra,5,C4,
CWFwm_OR,CWFwm_OR/103,Fd,1,B2,
CWFwm_OR,CWFwm_OR/103,Bc,2,B2,
CWFwm_OR,CWFwm_OR/103,Oa,1,B2,
CWFwm_OR,CWFwm_OR/103,Oy,2,B2,
CWFwm_OR,CWFwm_OR/103,Ps,2,B2,
CWFwm_OR,CWFwm_OR/103,Py,2,B2,
CWFwm_OR,CWFwm_OR/103,Pz,3,B2,
CWFwm_OR,CWFwm_OR/103,Qc,2,B2,
CWFwm_OR,CWFwm_OR/103,Ra,2,B2,
CWFwm_OR,CWFwm_OR/113,Bc,2,D6,
CWFwm_OR,CWFwm_OR/113,Dr,3,D6,
CWFwm_OR,CWFwm_OR/113,Fd,1,D6,
CWFwm_OR,CWFwm_OR/113,Mb,2,D6,
CWHdm,CWHdm/01,Act,3,C4,
CWHdm,CWHdm/01,Cw,2,C4,
CWHdm,CWHdm/01,Dr,2,C4,
CWHdm,CWHdm/01,Ep,3,C4,
CWHdm,CWHdm/01,Fd,1,C4,
CWHdm,CWHdm/01,Hw,2,C4,
CWHdm,CWHdm/01,Mb,2,C4,
CWHdm,CWHdm/01,Pw,3,C4,
CWHdm,CWHdm/01,Ra,5,C4,
CWHdm,CWHdm/03,Fd,1,B2,
CWHdm,CWHdm/03,Act,3,B2,
CWHdm,CWHdm/03,Cw,2,B2,
CWHdm,CWHdm/03,Dr,3,B2,
CWHdm,CWHdm/03,Ep,3,B2,
CWHdm,CWHdm/03,Hw,2,B2,
CWHdm,CWHdm/03,Lw,4,B2,
CWHdm,CWHdm/03,Mb,3,B2,
CWHdm,CWHdm/03,Ra,3,B2,
CWHdm,CWHdm/07,Act,2,D6,
CWHdm,CWHdm/07,Bg,2,D6,1 to 2
CWHdm,CWHdm/07,Cw,1,D6,
CWHdm,CWHdm/07,Dr,2,D6,
CWHdm,CWHdm/07,Ep,3,D6,
CWHdm,CWHdm/07,Fd,2,D6,
CWHdm,CWHdm/07,Hw,3,D6,
CWHdm,CWHdm/07,Mb,2,D6,
CWHdm,CWHdm/07,Pw,2,D6,
CWHdm_OR,CWHdm_OR/101,Bg,5,C4,
CWHdm_OR,CWHdm_OR/101,Cw,3,C4,
CWHdm_OR,CWHdm_OR/101,Dr,2,C4,
CWHdm_OR,CWHdm_OR/101,Fd,1,C4,
CWHdm_OR,CWHdm_OR/101,Hw,1,C4,
CWHdm_OR,CWHdm_OR/101,Mb,2,C4,
CWHdm_OR,CWHdm_OR/101,Oa,2,C4,
CWHdm_OR,CWHdm_OR/101,Oy,3,C4,
CWHdm_OR,CWHdm_OR/103,Fd,1,B2,
CWHdm_OR,CWHdm_OR/103,Dr,3,B2,
CWHdm_OR,CWHdm_OR/103,Hw,2,B2,
CWHdm_OR,CWHdm_OR/103,Oy,3,B2,
CWHdm_OR,CWHdm_OR/103,Ra,3,B2,
CWHdm_OR,CWHdm_OR/113,Act,2,D6,
CWHdm_OR,CWHdm_OR/113,Bg,2,D6,3 to 2
CWHdm_OR,CWHdm_OR/113,Cw,1,D6,
CWHdm_OR,CWHdm_OR/113,Dr,2,D6,
CWHdm_OR,CWHdm_OR/113,Fd,2,D6,3 to 2
CWHdm_OR,CWHdm_OR/113,Hw,2,D6,
CWHdm_OR,CWHdm_OR/113,Mb,2,D6,
CWHdm_OR,CWHdm_OR/113,Ss,3,D6,
CWHdm_WA,CWHdm_WA/101,Bg,5,C4,
CWHdm_WA,CWHdm_WA/113,Bg,2,D6,added
CWHdm_WA,CWHdm_WA/101,Cw,2,C4,
CWHdm_WA,CWHdm_WA/101,Dr,2,C4,
CWHdm_WA,CWHdm_WA/101,Fd,1,C4,
CWHdm_WA,CWHdm_WA/101,Hw,1,C4,
CWHdm_WA,CWHdm_WA/101,Mb,2,C4,
CWHdm_WA,CWHdm_WA/103,Fd,1,B2,
CWHdm_WA,CWHdm_WA/103,Cw,3,B2,
CWHdm_WA,CWHdm_WA/103,Dr,3,B2,
CWHdm_WA,CWHdm_WA/103,Hw,2,B2,
CWHdm_WA,CWHdm_WA/113,Fd,2,D6,3 to 2
CWHdm_WA,CWHdm_WA/113,Act,2,D6,
CWHdm_WA,CWHdm_WA/113,Cw,1,D6,
CWHdm_WA,CWHdm_WA/113,Dr,2,D6,
CWHdm_WA,CWHdm_WA/113,Hw,3,D6,
CWHdm_WA,CWHdm_WA/113,Mb,2,D6,
CWHdm_WA,CWHdm_WA/113,Ss,2,D6,
CWHds_WA,CWHds_WA/101,Ba,3,C4,
CWHds_WA,CWHds_WA/101,Bg,2,C4,
CWHds_WA,CWHds_WA/101,Bp,5,C4,
CWHds_WA,CWHds_WA/101,Cw,2,C4,
CWHds_WA,CWHds_WA/101,Ep,3,C4,
CWHds_WA,CWHds_WA/101,Fd,1,C4,
CWHds_WA,CWHds_WA/101,Hw,2,C4,
CWHds_WA,CWHds_WA/101,Mb,3,C4,
CWHds_WA,CWHds_WA/101,Pw,2,C4,
CWHds_WA,CWHds_WA/103,Fd,1,B2,
CWHds_WA,CWHds_WA/103,Bg,2,B2,
CWHds_WA,CWHds_WA/103,Cw,3,B2,
CWHds_WA,CWHds_WA/103,Ep,3,B2,
CWHds_WA,CWHds_WA/103,Hw,3,B2,
CWHds_WA,CWHds_WA/103,Pl,2,B2,
CWHds_WA,CWHds_WA/103,Py,3,B2,
CWHds_WA,CWHds_WA/113,Act,2,D6,
CWHds_WA,CWHds_WA/113,Bg,1,D6,
CWHds_WA,CWHds_WA/113,Cw,1,D6,
CWHds_WA,CWHds_WA/113,Dr,3,D6,
CWHds_WA,CWHds_WA/113,Fd,3,D6,
CWHds_WA,CWHds_WA/113,Hw,3,D6,
CWHds_WA,CWHds_WA/113,Sx,2,D6,
CWHds1,CWHds1/01,Cw,2,C4,
CWHds1,CWHds1/01,Dr,3,C4,
CWHds1,CWHds1/01,Ep,3,C4,
CWHds1,CWHds1/01,Fd,1,C4,
CWHds1,CWHds1/01,Hw,2,C4,
CWHds1,CWHds1/01,Mb,2,C4,
CWHds1,CWHds1/01,Pw,3,C4,
CWHds1,CWHds1/01,Pl,2,C4,
CWHds1,CWHds1/01,Act,3,C4,
CWHds1,CWHds1/01,Bg,3,C4,
CWHds1,CWHds1/01,Py,4,C4,
CWHds1,CWHds1/03,Fd,1,B2,
CWHds1,CWHds1/03,Act,5,B2,
CWHds1,CWHds1/03,Cw,3,B2,
CWHds1,CWHds1/03,Dr,5,B2,
CWHds1,CWHds1/03,Ep,3,B2,
CWHds1,CWHds1/03,Hw,3,B2,
CWHds1,CWHds1/03,Mb,3,B2,
CWHds1,CWHds1/03,Pl,2,B2,
CWHds1,CWHds1/03,Py,4,B2,
CWHds1,CWHds1/03,Pw,3,B2,
CWHds1,CWHds1/07,Act,2,D6,
CWHds1,CWHds1/07,Bg,2,D6,1 to 2
CWHds1,CWHds1/07,Bp,4,D6,
CWHds1,CWHds1/07,Cw,1,D6,
CWHds1,CWHds1/07,Dr,2,D6,
CWHds1,CWHds1/07,Ep,3,D6,
CWHds1,CWHds1/07,Fd,2,D6,
CWHds1,CWHds1/07,Hw,1,D6,
CWHds1,CWHds1/07,Mb,1,D6,
CWHds1,CWHds1/07,Pw,2,D6,
CWHds1,CWHds1/07,Pl,3,D6,
CWHds2,CWHds2/01,Act,3,C4,
CWHds2,CWHds2/01,Cw,2,C4,
CWHds2,CWHds2/01,Dr,2,C4,
CWHds2,CWHds2/01,Ep,2,C4,
CWHds2,CWHds2/01,Fd,1,C4,
CWHds2,CWHds2/01,Hw,2,C4,
CWHds2,CWHds2/01,Mb,3,C4,
CWHds2,CWHds2/03,Fd,1,B2,
CWHds2,CWHds2/03,Act,3,B2,
CWHds2,CWHds2/03,Cw,3,B2,
CWHds2,CWHds2/03,Dr,3,B2,
CWHds2,CWHds2/03,Ep,3,B2,
CWHds2,CWHds2/03,Hw,3,B2,
CWHds2,CWHds2/03,Mb,3,B2,
CWHds2,CWHds2/03,Pl,2,B2,
CWHds2,CWHds2/07,Act,2,D6,
CWHds2,CWHds2/07,Cw,1,D6,
CWHds2,CWHds2/07,Dr,2,D6,
CWHds2,CWHds2/07,Ep,3,D6,
CWHds2,CWHds2/07,Fd,3,D6,1 to 3
CWHds2,CWHds2/07,Hw,1,D6,
CWHds2,CWHds2/07,Mb,3,D6,
CWHds2,CWHds2/07,Ss,2,D6,
CWHmh_OR,CWHmh_OR/101,Cw,3,C4,
CWHmh_OR,CWHmh_OR/101,Dr,2,C4,
CWHmh_OR,CWHmh_OR/101,Fd,1,C4,
CWHmh_OR,CWHmh_OR/101,Hw,1,C4,
CWHmh_OR,CWHmh_OR/101,Ot,3,C4,
CWHmh_OR,CWHmh_OR/101,Ss,1,C4,
CWHmh_OR,CWHmh_OR/103,Fd,1,B2,
CWHmh_OR,CWHmh_OR/103,Cw,5,B2,
CWHmh_OR,CWHmh_OR/103,Dr,3,B2,
CWHmh_OR,CWHmh_OR/103,Hw,2,B2,
CWHmh_OR,CWHmh_OR/103,Pl,2,B2,
CWHmh_OR,CWHmh_OR/103,Ss,2,B2,
CWHmh_OR,CWHmh_OR/113,Cw,2,D6,
CWHmh_OR,CWHmh_OR/113,Dr,2,D6,
CWHmh_OR,CWHmh_OR/113,Fd,2,D6,
CWHmh_OR,CWHmh_OR/113,Hw,1,D6,
CWHmh_OR,CWHmh_OR/113,Mb,3,D6,
CWHmh_OR,CWHmh_OR/113,Ss,1,D6,
CWHmh_OR,CWHmh_OR/113,Yp,2,D6,
CWHmm1,CWHmm1/01,Act,3,C4,
CWHmm1,CWHmm1/01,Cw,2,C4,
CWHmm1,CWHmm1/01,Dr,2,C4,
CWHmm1,CWHmm1/01,Fd,1,C4,
CWHmm1,CWHmm1/01,Hw,2,C4,
CWHmm1,CWHmm1/01,Mb,3,C4,
CWHmm1,CWHmm1/03,Fd,1,B2,
CWHmm1,CWHmm1/03,Act,3,B2,
CWHmm1,CWHmm1/03,Cw,3,B2,
CWHmm1,CWHmm1/03,Dr,3,B2,
CWHmm1,CWHmm1/03,Hw,1,B2,
CWHmm1,CWHmm1/03,Mb,3,B2,
CWHmm1,CWHmm1/07,Act,2,D6,
CWHmm1,CWHmm1/07,Ba,2,D6,
CWHmm1,CWHmm1/07,Cw,1,D6,
CWHmm1,CWHmm1/07,Dr,2,D6,
CWHmm1,CWHmm1/07,Fd,2,D6,
CWHmm1,CWHmm1/07,Hw,3,D6,
CWHmm1,CWHmm1/07,Mb,2,D6,
CWHmm1,CWHmm1/07,Pw,2,D6,
CWHmm2,CWHmm2/01,Ba,1,C4,
CWHmm2,CWHmm2/01,Cw,2,C4,
CWHmm2,CWHmm2/01,Fd,2,C4,
CWHmm2,CWHmm2/01,Hm,2,C4,
CWHmm2,CWHmm2/01,Hw,1,C4,
CWHmm2,CWHmm2/01,Sx,4,C4,
CWHmm2,CWHmm2/01,Yc,2,C4,
CWHmm2,CWHmm2/03,Fd,2,B2,
CWHmm2,CWHmm2/03,Cw,3,B2,
CWHmm2,CWHmm2/03,Hm,2,B2,
CWHmm2,CWHmm2/03,Hw,1,B2,
CWHmm2,CWHmm2/03,Sx,4,B2,
CWHmm2,CWHmm2/03,Yc,3,B2,
CWHmm2,CWHmm2/08,Ba,1,D6,
CWHmm2,CWHmm2/08,Cw,2,D6,
CWHmm2,CWHmm2/08,Fd,3,D6,
CWHmm2,CWHmm2/08,Hw,2,D6,
CWHmm2,CWHmm2/08,Yc,2,D6,
CWHmm2,CWHmm2/08,Pw,2,D6,
CWHms_OR,CWHms_OR/101,Ba,1,C4,
CWHms_OR,CWHms_OR/101,Bg,3,C4,
CWHms_OR,CWHms_OR/101,Bp,2,C4,
CWHms_OR,CWHms_OR/101,Cw,2,C4,
CWHms_OR,CWHms_OR/101,Fd,1,C4,
CWHms_OR,CWHms_OR/101,Hw,1,C4,
CWHms_OR,CWHms_OR/101,Oy,3,C4,
CWHms_OR,CWHms_OR/101,Pw,2,C4,
CWHms_OR,CWHms_OR/103,Fd,1,B2,
CWHms_OR,CWHms_OR/103,Ba,3,B2,
CWHms_OR,CWHms_OR/103,Bg,3,B2,
CWHms_OR,CWHms_OR/103,Cw,3,B2,
CWHms_OR,CWHms_OR/103,Hw,2,B2,
CWHms_OR,CWHms_OR/103,Pw,3,B2,
CWHms_OR,CWHms_OR/113,Act,2,D6,
CWHms_OR,CWHms_OR/113,Ba,2,D6,
CWHms_OR,CWHms_OR/113,Bp,2,D6,
CWHms_OR,CWHms_OR/113,Cw,1,D6,
CWHms_OR,CWHms_OR/113,Dr,3,D6,
CWHms_OR,CWHms_OR/113,Fd,2,D6,
CWHms_OR,CWHms_OR/113,Hw,2,D6,
CWHms_OR,CWHms_OR/113,Sx,2,D6,
CWHms_WA,CWHms_WA/101,Ba,1,C4,
CWHms_WA,CWHms_WA/101,Bg,2,C4,
CWHms_WA,CWHms_WA/101,Bp,3,C4,
CWHms_WA,CWHms_WA/101,Cw,2,C4,
CWHms_WA,CWHms_WA/101,Fd,1,C4,
CWHms_WA,CWHms_WA/101,Hw,1,C4,
CWHms_WA,CWHms_WA/101,Pw,2,C4,
CWHms_WA,CWHms_WA/103,Fd,1,B2,
CWHms_WA,CWHms_WA/103,Ba,3,B2,
CWHms_WA,CWHms_WA/103,Bg,3,B2,
CWHms_WA,CWHms_WA/103,Cw,3,B2,
CWHms_WA,CWHms_WA/103,Hw,2,B2,
CWHms_WA,CWHms_WA/103,Lw,2,B2,
CWHms_WA,CWHms_WA/103,Pw,3,B2,
CWHms_WA,CWHms_WA/113,Act,2,D6,
CWHms_WA,CWHms_WA/113,Ba,2,D6,
CWHms_WA,CWHms_WA/113,Bl,3,D6,
CWHms_WA,CWHms_WA/113,Bp,3,D6,
CWHms_WA,CWHms_WA/113,Cw,1,D6,
CWHms_WA,CWHms_WA/113,Dr,3,D6,
CWHms_WA,CWHms_WA/113,Fd,2,D6,
CWHms_WA,CWHms_WA/113,Hw,2,D6,
CWHms_WA,CWHms_WA/113,Sx,2,D6,
CWHms1,CWHms1/01,Act,3,C4,
CWHms1,CWHms1/01,Ba,2,C4,
CWHms1,CWHms1/01,Bp,4,C4,
CWHms1,CWHms1/01,Cw,2,C4,
CWHms1,CWHms1/01,Dr,3,C4,
CWHms1,CWHms1/01,Ep,3,C4,
CWHms1,CWHms1/01,Fd,1,C4,
CWHms1,CWHms1/01,Hw,2,C4,
CWHms1,CWHms1/01,Mb,5,C4,
CWHms1,CWHms1/01,Sx,4,C4,
CWHms1,CWHms1/01,Yc,3,C4,
CWHms1,CWHms1/03,Fd,1,B2,
CWHms1,CWHms1/03,Act,3,B2,
CWHms1,CWHms1/03,Ba,3,B2,
CWHms1,CWHms1/03,Cw,3,B2,
CWHms1,CWHms1/03,Dr,3,B2,
CWHms1,CWHms1/03,Ep,3,B2,
CWHms1,CWHms1/03,Hw,3,B2,
CWHms1,CWHms1/03,Mb,5,B2,
CWHms1,CWHms1/03,Sx,4,B2,
CWHms1,CWHms1/06,Act,2,D6,
CWHms1,CWHms1/06,Ba,2,D6,
CWHms1,CWHms1/06,Bg,2,D6,
CWHms1,CWHms1/06,Bp,4,D6,
CWHms1,CWHms1/06,Cw,2,D6,
CWHms1,CWHms1/06,Dr,2,D6,
CWHms1,CWHms1/06,Ep,3,D6,
CWHms1,CWHms1/06,Fd,2,D6,
CWHms1,CWHms1/06,Hw,3,D6,
CWHms1,CWHms1/06,Mb,3,D6,
CWHms1,CWHms1/06,Sx,4,D6,
CWHms1,CWHms1/06,Yc,2,D6,
CWHms1,CWHms1/06,Pw,2,D6,
CWHms2,CWHms2/01,Act,3,C4,
CWHms2,CWHms2/01,Ba,2,C4,
CWHms2,CWHms2/01,Cw,2,C4,
CWHms2,CWHms2/01,Dr,3,C4,
CWHms2,CWHms2/01,Ep,3,C4,
CWHms2,CWHms2/01,Fd,1,C4,
CWHms2,CWHms2/01,Hw,2,C4,
CWHms2,CWHms2/01,Mb,5,C4,
CWHms2,CWHms2/03,Fd,2,B2,
CWHms2,CWHms2/03,Act,3,B2,
CWHms2,CWHms2/03,Cw,3,B2,
CWHms2,CWHms2/03,Dr,3,B2,
CWHms2,CWHms2/03,Ep,3,B2,
CWHms2,CWHms2/03,Hw,3,B2,
CWHms2,CWHms2/03,Mb,5,B2,
CWHms2,CWHms2/03,Pl,2,B2,
CWHms2,CWHms2/06,Act,2,D6,
CWHms2,CWHms2/06,Ba,2,D6,
CWHms2,CWHms2/06,Cw,2,D6,
CWHms2,CWHms2/06,Dr,2,D6,
CWHms2,CWHms2/06,Ep,3,D6,
CWHms2,CWHms2/06,Fd,3,D6,
CWHms2,CWHms2/06,Hw,1,D6,
CWHms2,CWHms2/06,Mb,3,D6,
CWHms2,CWHms2/06,Ss,2,D6,
CWHms2,CWHms2/06,Sx,3,D6,
CWHvh_WA,CWHvh_WA/101,Cw,1,C4,
CWHvh_WA,CWHvh_WA/101,Dr,2,C4,
CWHvh_WA,CWHvh_WA/101,Fd,2,C4,
CWHvh_WA,CWHvh_WA/101,Hw,1,C4,
CWHvh_WA,CWHvh_WA/101,Ss,2,C4,
CWHvh_WA,CWHvh_WA/101,Up,3,C4,
CWHvh_WA,CWHvh_WA/103,Fd,2,B2,
CWHvh_WA,CWHvh_WA/103,Cw,1,B2,
CWHvh_WA,CWHvh_WA/103,Dr,3,B2,
CWHvh_WA,CWHvh_WA/103,Hw,1,B2,
CWHvh_WA,CWHvh_WA/103,Ss,2,B2,
CWHvh_WA,CWHvh_WA/103,Up,3,B2,
CWHvh_WA,CWHvh_WA/113,Cw,2,D6,
CWHvh_WA,CWHvh_WA/113,Dr,2,D6,
CWHvh_WA,CWHvh_WA/113,Hw,1,D6,
CWHvh_WA,CWHvh_WA/113,Ss,1,D6,
CWHvh_WA,CWHvh_WA/113,Up,3,D6,
CWHvh1,CWHvh1/01,Ba,2,C4,
CWHvh1,CWHvh1/01,Cw,1,C4,
CWHvh1,CWHvh1/01,Dr,3,C4,
CWHvh1,CWHvh1/01,Hw,1,C4,
CWHvh1,CWHvh1/01,Mb,5,C4,
CWHvh1,CWHvh1/01,Pl,2,C4,
CWHvh1,CWHvh1/01,Ss,3,C4,
CWHvh1,CWHvh1/01,Yc,2,C4,
CWHvh1,CWHvh1/03,Cw,2,B2,
CWHvh1,CWHvh1/03,Dr,3,B2,
CWHvh1,CWHvh1/03,Hw,1,B2,
CWHvh1,CWHvh1/03,Mb,5,B2,
CWHvh1,CWHvh1/03,Pl,2,B2,
CWHvh1,CWHvh1/03,Yc,2,B2,
CWHvh1,CWHvh1/07,Ba,1,D6,
CWHvh1,CWHvh1/07,Cw,1,D6,
CWHvh1,CWHvh1/07,Dr,2,D6,
CWHvh1,CWHvh1/07,Hw,2,D6,
CWHvh1,CWHvh1/07,Mb,5,D6,
CWHvh1,CWHvh1/07,Ss,1,D6,
CWHvh1,CWHvh1/07,Yc,3,D6,
CWHvh2,CWHvh2/01,Ba,3,C4,
CWHvh2,CWHvh2/01,Cw,1,C4,
CWHvh2,CWHvh2/01,Dr,3,C4,
CWHvh2,CWHvh2/01,Hw,1,C4,
CWHvh2,CWHvh2/01,Pl,2,C4,
CWHvh2,CWHvh2/01,Ss,5,C4,
CWHvh2,CWHvh2/01,Yc,2,C4,
CWHvh2,CWHvh2/03,Cw,1,B2,
CWHvh2,CWHvh2/03,Dr,3,B2,
CWHvh2,CWHvh2/03,Hw,1,B2,
CWHvh2,CWHvh2/03,Pl,1,B2,
CWHvh2,CWHvh2/03,Ss,5,B2,
CWHvh2,CWHvh2/03,Yc,1,B2,
CWHvh2,CWHvh2/07,Ba,1,D6,
CWHvh2,CWHvh2/07,Cw,1,D6,
CWHvh2,CWHvh2/07,Dr,2,D6,
CWHvh2,CWHvh2/07,Hw,2,D6,
CWHvh2,CWHvh2/07,Ss,1,D6,
CWHvh2,CWHvh2/07,Yc,3,D6,
CWHvh3,CWHvh3/101,Cw,2,C4,
CWHvh3,CWHvh3/101,Dr,2,C4,
CWHvh3,CWHvh3/101,Hw,1,C4,
CWHvh3,CWHvh3/101,Pl,2,C4,
CWHvh3,CWHvh3/101,Ss,3,C4,
CWHvh3,CWHvh3/101,Yc,2,C4,
CWHvh3,CWHvh3/102,Cw,3,B2,
CWHvh3,CWHvh3/102,Dr,3,B2,
CWHvh3,CWHvh3/102,Hw,3,B2,
CWHvh3,CWHvh3/102,Pl,2,B2,
CWHvh3,CWHvh3/102,Yc,2,B2,
CWHvh3,CWHvh3/117,Cw,1,D6,
CWHvh3,CWHvh3/117,Dr,3,D6,
CWHvh3,CWHvh3/117,Hw,3,D6,
CWHvh3,CWHvh3/117,Pl,3,D6,
CWHvh3,CWHvh3/117,Ss,2,D6,
CWHvh3,CWHvh3/117,Yc,1,D6,
CWHvm_OR,CWHvm_OR/101,Ba,1,C4,
CWHvm_OR,CWHvm_OR/101,Bp,2,C4,
CWHvm_OR,CWHvm_OR/101,Cw,2,C4,
CWHvm_OR,CWHvm_OR/101,Dr,2,C4,
CWHvm_OR,CWHvm_OR/101,Fd,1,C4,
CWHvm_OR,CWHvm_OR/101,Hw,1,C4,
CWHvm_OR,CWHvm_OR/101,Oy,3,C4,
CWHvm_OR,CWHvm_OR/101,Pw,2,C4,
CWHvm_OR,CWHvm_OR/103,Fd,1,B2,
CWHvm_OR,CWHvm_OR/103,Ba,2,B2,
CWHvm_OR,CWHvm_OR/103,Cw,2,B2,
CWHvm_OR,CWHvm_OR/103,Hw,1,B2,
CWHvm_OR,CWHvm_OR/103,Pw,3,B2,
CWHvm_OR,CWHvm_OR/103,Dr,3,B2,
CWHvm_OR,CWHvm_OR/113,Act,2,D6,
CWHvm_OR,CWHvm_OR/113,Ba,1,D6,
CWHvm_OR,CWHvm_OR/113,Cw,1,D6,
CWHvm_OR,CWHvm_OR/113,Dr,2,D6,
CWHvm_OR,CWHvm_OR/113,Fd,3,D6,
CWHvm_OR,CWHvm_OR/113,Hw,2,D6,
CWHvm_WA,CWHvm_WA/101,Ba,1,C4,
CWHvm_WA,CWHvm_WA/101,Bp,3,C4,
CWHvm_WA,CWHvm_WA/101,Cw,1,C4,
CWHvm_WA,CWHvm_WA/101,Dr,2,C4,
CWHvm_WA,CWHvm_WA/101,Fd,2,C4,
CWHvm_WA,CWHvm_WA/101,Hw,1,C4,
CWHvm_WA,CWHvm_WA/101,Pw,2,C4,
CWHvm_WA,CWHvm_WA/101,Yc,3,C4,
CWHvm_WA,CWHvm_WA/103,Fd,1,B2,
CWHvm_WA,CWHvm_WA/103,Ba,2,B2,
CWHvm_WA,CWHvm_WA/103,Cw,1,B2,
CWHvm_WA,CWHvm_WA/103,Dr,3,B2,
CWHvm_WA,CWHvm_WA/103,Hw,1,B2,
CWHvm_WA,CWHvm_WA/103,Pw,3,B2,
CWHvm_WA,CWHvm_WA/113,Act,2,D6,
CWHvm_WA,CWHvm_WA/113,Ba,1,D6,
CWHvm_WA,CWHvm_WA/113,Cw,1,D6,
CWHvm_WA,CWHvm_WA/113,Dr,2,D6,
CWHvm_WA,CWHvm_WA/113,Hw,2,D6,
CWHvm_WA,CWHvm_WA/113,Mb,2,D6,
CWHvm_WA,CWHvm_WA/113,Ss,1,D6,
CWHvm1,CWHvm1/01,Act,3,C4,
